preco,bairro,area,quartos,suites,vagas,andar,banheiros,salao de festas,mobiliado,varanda,academia,espaco gourmet,playground,churrasqueira,piscina
R$ 670.000,Itacorubi,91,3,1,1,,2,0,0,0,0,0,0,0,0
R$ 722.610,Canto,78,1,1,1,1,2,1,0,1,1,0,1,0,1
R$ 620.000,Estreito,96,3,0,0,,2,1,0,1,0,0,0,1,0
R$ 916.744,Trindade,105,2,1,1,,2,1,0,0,0,0,0,1,0
R$ 885.000,Itacorubi,69,2,1,2,,1,1,0,0,0,1,1,1,1
R$ 843.844,Agronômica,129,1,1,1,,2,1,0,0,0,0,0,0,0
R$ 830.000,Trindade,67,2,1,1,,2,0,0,0,0,0,0,0,0
R$ 950.000,Jardim Atlântico,114,3,1,1,,3,1,1,1,0,0,0,1,0
R$ 790.000,Capoeiras,73,2,1,2,,2,0,0,0,0,0,0,0,0
R$ 1.188.000,Balneário,97,,1,1,2,2,1,0,1,1,1,1,1,1
R$ 930.447,Canto,128,1,1,2,,2,0,0,0,0,0,0,0,0
R$ 1.200.000,Balneário,133,4,1,2,2,3,0,0,1,0,0,0,1,0
R$ 690.000,Estreito,118,3,1,1,,3,1,0,1,0,0,1,1,0
R$ 690.000,Itacorubi,74,1,0,1,4,1,1,0,1,1,1,1,0,0
R$ 1.099.000,Itacorubi,83,3,1,2,,2,1,0,1,1,1,1,0,1
R$ 700.000,Itacorubi,83,2,1,1,1,2,1,0,1,1,0,0,0,0
R$ 886.457,Estreito,112,2,2,2,,3,0,0,1,0,1,1,1,0
R$ 750.000,Jardim Atlântico,97,3,1,2,,2,0,0,0,0,0,0,0,0
R$ 885.000,Itacorubi,70,2,1,2,6,1,1,1,1,1,1,1,1,0
R$ 850.000,Trindade,69,2,1,1,,2,1,1,1,1,0,1,0,0
R$ 650.000,Itacorubi,69,1,1,1,,1,1,0,0,0,1,0,0,1
R$ 952.000,Itacorubi,76,2,1,1,,2,1,0,0,0,1,1,1,1
R$ 800.000,Itacorubi,67,2,1,1,,2,1,0,0,0,0,0,0,0
R$ 2.850.000,Estreito,131,3,3,3,,4,1,1,1,1,1,1,1,1
R$ 870.000,Itacorubi,77,2,1,2,7,2,1,0,1,1,1,1,1,1
R$ 1.480.000,Canto,113,3,3,2,,4,1,0,1,1,1,1,1,0
R$ 2.050.000,Agronômica,122,3,1,1,5,3,0,1,1,0,0,0,1,1
R$ 734.100,Estreito,86,3,1,1,,2,1,0,0,0,0,0,1,0
R$ 650.000,Balneário,89,3,1,1,,2,1,1,0,0,0,0,0,0
R$ 725.000,Estreito,74,2,0,2,,2,0,0,0,0,0,0,0,0
R$ 400.000,Itacorubi,48,2,0,1,,1,1,1,0,0,1,1,1,0
R$ 990.000,Estreito,100,3,1,1,,1,1,0,0,1,0,1,0,0
R$ 921.494,Trindade,106,2,1,1,,2,0,0,0,0,0,0,0,0
R$ 850.000,Itacorubi,58,2,1,1,7,2,1,0,1,0,1,0,1,1
R$ 1.170.000,Itacorubi,116,2,2,2,,3,0,0,0,0,0,0,1,0
R$ 620.000,Canto,92,3,1,1,,2,1,0,1,0,0,0,0,0
R$ 785.000,Itacorubi,71,2,1,2,,1,1,1,1,1,0,1,1,0
R$ 750.000,Canto,98,3,1,2,,1,1,0,1,0,0,1,0,0
R$ 726.000,Capoeiras,70,2,1,1,5,2,1,0,0,1,1,1,1,1
R$ 880.000,Itacorubi,72,2,1,1,,2,1,0,0,1,1,0,0,1
R$ 520.000,Itacorubi,62,2,0,1,2,1,1,0,0,0,0,0,0,0
R$ 1.051.917,Trindade,68,2,1,1,1,2,0,0,0,1,1,0,0,0
